scenario,reward,satisfaction,final_satisfaction,churned,term_reason,steps
Safety (High Churn),6.125000100582838,0.05000000000000007,0.05000000000000007,1,Churn,9
Safety (High Churn),68.60000023245811,0.30000000000000016,0.30000000000000016,0,MaxSteps,100
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,19
Balanced,-1.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Balanced,0.04999981075525284,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,0.04999981075525284,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,-1.8749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Balanced,0.10000019520521164,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,-1.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Balanced,5.9500001184642315,0.05000000000000002,0.05000000000000002,1,Churn,12
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,12
Balanced,2.1250000055879354,0.0,0.0,1,Churn,12
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,13.350000210106373,0.10000000000000002,0.10000000000000002,1,Churn,17
Balanced,-1.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,0.10000019520521164,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,2.1250000055879354,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,0.04999981075525284,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,12
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,8.574999820441008,0.15000000000000013,0.15000000000000013,1,Churn,13
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,11
Balanced,8.125000005587935,0.0,0.0,1,Churn,17
Balanced,2.1250000055879354,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Balanced,128.549999833107,1.0,1.0,0,MaxSteps,100
Balanced,8.574999820441008,0.15000000000000013,0.15000000000000013,1,Churn,13
Balanced,3.8749998286366463,0.15000000000000002,0.15000000000000002,1,Churn,10
Balanced,0.04999981075525284,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,0.12500010058283806,0.05000000000000007,0.05000000000000007,1,Churn,9
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,11
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,0.04999981075525284,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,0.10000019520521164,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,4.1250000055879354,0.0,0.0,1,Churn,17
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,11
Balanced,-1.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,0.04999981075525284,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,11
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-3.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Balanced,0.04999981075525284,0.15000000000000008,0.15000000000000008,1,Churn,7
