scenario,reward,satisfaction,final_satisfaction,churned,term_reason,steps
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.8749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,13
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,16
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,-3.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,-1.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,0.10000019520521164,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,112.09999978542328,0.95,0.95,0,MaxSteps,100
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,12
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,12
Balanced,0.10000019520521164,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,-1.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,11
Balanced,0.04999981075525284,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,12
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.8749999944120646,0.0,0.0,1,Churn,11
Balanced,2.1000001952052116,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,-1.8749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Balanced,113.02499979734421,0.95,0.95,0,MaxSteps,100
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.8749999944120646,6.938893903907228e-17,6.938893903907228e-17,1,Churn,10
Balanced,2.1250000055879354,0.0,0.0,1,Churn,12
Balanced,59.974999994039536,0.45,0.45,0,MaxSteps,100
Balanced,-1.874999899417162,0.05000000000000007,0.05000000000000007,1,Churn,9
Balanced,-1.8999998047947884,0.10000000000000007,0.10000000000000007,1,Churn,8
Balanced,0.04999981075525284,0.15000000000000008,0.15000000000000008,1,Churn,7
Balanced,-1.9500001892447472,0.15000000000000008,0.15000000000000008,1,Churn,7
